Status;Name/Label;Value;Units/States;Description;Location;Type;Category;Expiration Time;Reference
;9C9_40006VL;27,429.9;Gal;9C9_Tank 1 Volume;Bell>9C9-11>FCB>Veeder_on_MSTP>Anolog Inputs>9C9_40006VL;BACnet AI;9C9;Unspecified;DCOCBH-D05:9C9-11/FCB.Veeder_on_MSTP.Anolog Inputs.AI-40103
;9C9_40006ULLAGE;3,190.1;%;9C9_Tank 1  Ullage;Bell>9C9-11>FCB>Veeder_on_MSTP>Anolog Inputs>9C9_40006ULLAGE;BACnet AI;9C9;Unspecified;DCOCBH-D05:9C9-11/FCB.Veeder_on_MSTP.Anolog Inputs.AI-40105
;9C9_40007VL;27,342.8;Gal;9C9_Tank 2 Volume;Bell>9C9-11>FCB>Veeder_on_MSTP>Anolog Inputs>9C9_40007VL;BACnet AI;9C9;Unspecified;DCOCBH-D05:9C9-11/FCB.Veeder_on_MSTP.Anolog Inputs.AI-40203
;9C9_40007ULLAGE;3,277.2;%;9C9_Tank 2  Ullage;Bell>9C9-11>FCB>Veeder_on_MSTP>Anolog Inputs>9C9_40007ULLAGE;BACnet AI;9C9;Unspecified;DCOCBH-D05:9C9-11/FCB.Veeder_on_MSTP.Anolog Inputs.AI-40205
;9C9_40008VL;27,164.9;Gal;9C9_Tank 3 Volume;Bell>9C9-11>FCB>Veeder_on_MSTP>Anolog Inputs>9C9_40008VL;BACnet AI;9C9;Unspecified;DCOCBH-D05:9C9-11/FCB.Veeder_on_MSTP.Anolog Inputs.AI-40303
;9C9_40008ULLAGE;3,455.1;%;9C9_Tank 3  Ullage;Bell>9C9-11>FCB>Veeder_on_MSTP>Anolog Inputs>9C9_40008ULLAGE;BACnet AI;9C9;Unspecified;DCOCBH-D05:9C9-11/FCB.Veeder_on_MSTP.Anolog Inputs.AI-40305
;AVO_4001VL;6,956.8;;Tank1 TC Volume;Bell>AVO>FCB>AVO_VEEDER ROOT-8>AVO_4001VL;BACnet AI;CHA;Unspecified;DCOCBH-D05:AVO/FCB.Veeder Root.AI-40104
;AVO_4001ULLAGE;3,060.3;;Tank1 Ullage;Bell>AVO>FCB>AVO_VEEDER ROOT-8>AVO_4001ULLAGE;BACnet AI;CHA;Unspecified;DCOCBH-D05:AVO/FCB.Veeder Root.AI-40105
;BLM_40008VLM;18,149.1;L;Volume;Bell>BLM-2>N2-1>BLM-2_INT-145>BLM_40008VLM;N2 AI;BLM;Unspecified;DCOCBH-D05:BLM-2/N2-1.BLM-2_INT-145.BLM_40008VLM
;BLM_40008VLMB;4,350.9;L;Volume Libre;Bell>BLM-2>N2-1>BLM-2_INT-145>BLM_40008VLMB;N2 AI;BLM;Unspecified;DCOCBH-D05:BLM-2/N2-1.BLM-2_INT-145.BLM_40008VLMB
;BLM_40009VLM;16,521.5;L;Volume;Bell>BLM-2>N2-1>BLM-2_INT-146>BLM_40009VLM;N2 AI;BLM;Unspecified;DCOCBH-D05:BLM-2/N2-1.BLM-2_INT-146.BLM_40009VLM
;BLM_40009VLMB;5,978.5;L;Volume Libre;Bell>BLM-2>N2-1>BLM-2_INT-146>BLM_40009VLMB;N2 AI;BLM;Unspecified;DCOCBH-D05:BLM-2/N2-1.BLM-2_INT-146.BLM_40009VLMB
;BLM_40010VLM;18,467.0;L;Volume;Bell>BLM-2>N2-1>BLM-2_INT-147>BLM_40010VLM;N2 AI;BLM;Unspecified;DCOCBH-D05:BLM-2/N2-1.BLM-2_INT-147.BLM_40010VLM
;BLM_40010VLMB;4,033.0;L;Volume Libre;Bell>BLM-2>N2-1>BLM-2_INT-147>BLM_40010VLMB;N2 AI;BLM;Unspecified;DCOCBH-D05:BLM-2/N2-1.BLM-2_INT-147.BLM_40010VLMB
;BLM_40011VLM;15,166.5;L;Volume;Bell>BLM-2>N2-1>BLM-2_INT-148>BLM_40011VLM;N2 AI;BLM;Unspecified;DCOCBH-D05:BLM-2/N2-1.BLM-2_INT-148.BLM_40011VLM
